Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,176.619995,176.949997,175.559998,175.570007,175.570007,6559400
2023-08-17,176.529999,176.559998,174.929993,175.300003,175.300003,7937700
2023-08-18,175.830002,176.059998,175.100006,175.330002,175.330002,6251000
2023-08-21,175.899994,175.940002,174.960007,175.809998,175.809998,4206400
2023-08-22,175.830002,176.250000,175.309998,176.100006,176.100006,5892500
2023-08-23,177.320007,178.220001,177.070007,177.889999,177.889999,7949100
2023-08-24,177.660004,178.490005,177.410004,177.850006,177.850006,5526400
2023-08-25,177.580002,178.380005,176.630005,177.619995,177.619995,6132800
2023-08-28,177.649994,178.729996,177.509995,178.130005,178.130005,4740700
2023-08-29,178.029999,179.880005,177.899994,179.869995,179.869995,7576600
2023-08-30,180.580002,180.880005,180.289993,180.320007,180.320007,6593700
2023-08-31,180.369995,180.490005,179.940002,180.020004,180.020004,4795600
2023-09-01,180.800003,181.119995,179.509995,180.110001,180.110001,4969300
2023-09-05,179.330002,179.440002,178.639999,178.639999,178.639999,7056800
2023-09-06,178.330002,179.009995,177.699997,177.830002,177.830002,6427200
2023-09-07,178.309998,178.369995,177.899994,178.020004,178.020004,3257200
2023-09-08,178.360001,179.050003,177.899994,178.080002,178.080002,3292700
2023-09-11,178.970001,179.070007,178.259995,178.410004,178.410004,3689100
2023-09-12,177.110001,177.699997,177.050003,177.490005,177.490005,4445400
2023-09-13,177.529999,177.750000,177.039993,177.080002,177.080002,3874800
2023-09-14,176.500000,177.389999,176.360001,177.169998,177.169998,6184400
2023-09-15,178.550003,179.110001,178.339996,178.339996,178.339996,5619600
2023-09-18,178.820007,179.410004,178.380005,179.389999,179.389999,5049300
2023-09-19,179.539993,179.649994,179.029999,179.220001,179.220001,4224700
2023-09-20,179.339996,180.660004,179.320007,179.350006,179.350006,9328000
2023-09-21,177.860001,178.490005,177.690002,178.050003,178.050003,7571900
2023-09-22,178.649994,178.949997,178.509995,178.619995,178.619995,3634800
2023-09-25,178.410004,178.710007,177.639999,177.699997,177.699997,5582100
2023-09-26,176.830002,177.139999,176.160004,176.279999,176.279999,7181100
2023-09-27,175.270004,175.320007,173.699997,174.100006,174.100006,10919600
2023-09-28,173.910004,174.139999,172.320007,173.229996,173.229996,10061900
2023-09-29,173.919998,174.029999,171.270004,171.449997,171.449997,10424900
2023-10-02,170.229996,170.460007,169.500000,169.649994,169.649994,12706000
2023-10-03,169.139999,170.080002,168.750000,169.160004,169.160004,11459800
2023-10-04,169.210007,169.410004,168.500000,169.139999,169.139999,10034600
2023-10-05,168.740005,169.000000,168.300003,168.830002,168.830002,6970200
2023-10-06,169.169998,170.229996,168.500000,169.699997,169.699997,9942200
2023-10-09,171.179993,172.860001,171.080002,172.820007,172.820007,10201500
2023-10-10,172.080002,172.800003,171.899994,172.529999,172.529999,5844000
2023-10-11,173.600006,174.130005,173.259995,173.789993,173.789993,7128000
2023-10-12,174.059998,174.229996,173.240005,173.259995,173.259995,5912700
2023-10-13,176.889999,179.100006,176.720001,178.830002,178.830002,18796500
2023-10-16,177.839996,178.330002,177.539993,177.960007,177.960007,8385400
2023-10-17,178.369995,179.130005,177.979996,178.289993,178.289993,8231900
2023-10-18,180.889999,182.020004,179.750000,180.869995,180.869995,13920800
2023-10-19,181.039993,183.429993,180.820007,183.089996,183.089996,13406600
2023-10-20,183.429993,185.229996,183.089996,183.589996,183.589996,12782800
2023-10-23,183.509995,183.559998,182.710007,182.970001,182.970001,9479800
2023-10-24,182.070007,183.399994,181.679993,182.949997,182.949997,6594000
2023-10-25,183.419998,184.300003,182.039993,183.720001,183.720001,10087000
2023-10-26,183.399994,184.490005,182.869995,184.009995,184.009995,7671400
2023-10-27,183.759995,186.360001,183.470001,186.149994,186.149994,14102800
2023-10-30,185.539993,185.699997,184.729996,185.100006,185.100006,8756400
2023-10-31,185.080002,186.210007,183.500000,184.089996,184.089996,10104600
2023-11-01,183.910004,185.000000,182.669998,183.509995,183.509995,9048600
2023-11-02,184.130005,184.279999,183.500000,184.119995,184.119995,7343700
2023-11-03,184.479996,185.470001,184.350006,184.789993,184.789993,8529000
2023-11-06,184.139999,184.229996,183.339996,183.350006,183.350006,8274700
2023-11-07,182.250000,182.649994,181.750000,182.589996,182.589996,6795800
2023-11-08,182.009995,182.070007,180.570007,180.770004,180.770004,6738300
2023-11-09,180.979996,182.279999,180.889999,181.490005,181.490005,6486300
2023-11-10,180.509995,180.589996,179.250000,179.509995,179.509995,7606600
2023-11-13,179.399994,180.729996,179.110001,180.509995,180.509995,5385900
2023-11-14,181.699997,182.750000,181.619995,182.119995,182.119995,6831600
2023-11-15,182.029999,182.179993,181.309998,181.639999,181.639999,4909400
2023-11-16,182.850006,184.320007,182.800003,183.690002,183.690002,8253300
2023-11-17,183.960007,184.130005,183.449997,183.669998,183.669998,4871100
2023-11-20,182.320007,183.479996,182.229996,183.369995,183.369995,5389300
2023-11-21,185.570007,186.119995,185.070007,185.350006,185.350006,7322400
2023-11-22,185.470001,185.720001,184.270004,184.559998,184.559998,4337700
2023-11-24,185.470001,185.750000,185.160004,185.520004,185.520004,2445100
2023-11-27,186.559998,186.800003,185.929993,186.770004,186.770004,6320400
2023-11-28,187.899994,189.399994,187.520004,189.259995,189.259995,10901900
2023-11-29,189.160004,189.990005,189.020004,189.539993,189.539993,8407300
